VendorID,PULocationID,DOLocationID,fareamount,total_amount
1,74,159,null,16.4
2,41,140,null,25.45
1,61,189,null,16.4
2,41,151,null,11.28
2,74,236,null,23.82
2,74,244,null,24.72
1,14,61,null,25.7
2,74,256,null,65.34
2,7,146,null,11.28
2,43,163,null,31.95
2,95,198,null,21.3
1,74,238,null,20.15
1,74,75,null,10.1
2,74,75,null,13.22
2,43,100,null,34.75
2,74,236,null,26.71
2,74,41,null,7.3
2,75,140,null,22.95
2,43,263,null,18.69
2,43,237,null,17.05
2,43,236,null,17.94
2,65,45,null,14.25
2,166,142,null,24.81
2,75,141,null,24.66
2,74,138,null,45.18
2,74,75,null,15.48
2,74,75,null,18.75
1,159,259,null,30.7
2,74,43,null,14
2,43,236,null,15.65
2,42,68,null,40.85
1,74,75,null,16.1
1,75,41,null,13.8
1,41,42,null,10.1
2,244,42,null,13.6
2,166,142,null,22.45
2,41,236,null,21.3
2,41,166,null,10.44
2,41,74,null,9.4
2,116,24,null,71.5
2,116,236,null,26.15
1,14,45,null,27.7
2,41,163,null,26.75
2,74,75,null,11.5
2,74,263,null,20.46
2,43,161,null,21.55
2,243,261,null,72.74
1,145,145,null,4.7
2,7,82,null,19.2
2,75,41,null,10.1
2,41,236,null,22.19
2,129,129,null,9.4
2,41,41,null,4.5
2,25,181,null,18
2,244,116,null,12.9
2,152,42,null,10.1
2,75,41,null,13.8
2,166,41,null,10.1
2,74,75,null,17.16
2,55,55,null,85
2,95,121,null,22.25
2,25,54,null,12.12
2,52,13,null,39.12
2,75,161,null,30.07
1,247,79,null,34.25
2,75,41,null,14.04
2,41,162,null,33.85
2,116,42,null,9.4
1,74,142,null,24.05
2,166,41,null,8.7
2,24,143,null,21.45
2,43,161,null,33.56
2,130,124,null,31.9
2,95,135,null,16
2,41,166,null,11.5
2,166,230,null,27.24
1,74,24,null,17.15
1,41,166,null,10.44
2,97,138,null,54.34
1,220,137,null,36.7
1,74,41,null,10.8
2,75,74,null,11.28
2,75,152,null,17.8
2,75,75,null,9.4
2,43,262,null,17.94
2,166,74,null,15.48
2,41,42,null,9.5
2,75,142,null,23.35
2,75,229,null,21.95
2,42,74,null,9.3
2,65,45,null,14.95
2,74,42,null,7.25
2,264,264,null,4.5
2,134,134,null,8
2,74,75,null,12.12
2,75,74,null,47.55
2,41,238,null,12.85
2,166,74,null,10.8
2,179,193,null,11.11
2,75,239,null,19.85
2,74,75,null,12.2
2,7,202,null,16.4
2,41,90,null,48.18
2,244,140,null,38.05
2,75,238,null,17.1
2,95,135,null,13.6
2,75,262,null,21.95
2,42,170,null,31.75
1,237,248,null,36.55
2,74,166,null,16.12
2,166,74,null,13.6
2,75,159,null,18.5
2,223,132,null,76.8
2,41,48,null,38.94
2,75,263,null,17.1
2,75,239,null,27.18
2,244,120,null,14.3
1,168,94,null,24.8
2,74,152,null,16.77
2,74,75,null,11.5
2,75,74,null,10.8
2,166,74,null,16.32
2,75,75,null,10.1
2,75,239,null,22.14
2,166,234,null,49.86
2,181,80,null,32.5
2,166,43,null,16.32
1,74,24,null,15.64
1,166,41,null,5.9
2,97,76,null,39.5
2,74,142,null,32.75
2,75,151,null,11.5
1,41,239,null,22.95
1,41,236,null,17.05
2,82,83,null,6.6
2,97,17,null,22.2
2,95,95,null,9.4
1,40,40,null,8
1,74,74,null,4.5
1,74,234,null,42.75
2,166,152,null,9.7
2,75,75,null,24
2,75,170,null,32.22
1,74,166,null,13.8
1,74,236,null,19.55
2,196,132,null,47.9
1,61,62,null,12.2
1,66,33,null,18
2,74,243,null,31.44
2,95,216,null,22
2,74,41,null,7.3
2,166,151,null,10.8
2,41,41,null,-4.5
2,41,41,null,4.5
2,74,239,null,28.86
2,166,166,null,8.76
2,75,234,null,40.62
1,74,166,null,12.95
2,74,236,null,15.48
2,75,142,null,22.66
2,75,262,null,16.53
2,43,113,null,53.22
2,129,141,null,37.35
2,166,164,null,44.06
2,74,166,null,15.25
2,166,138,null,67.31
2,74,142,null,30.85
2,74,75,null,10.8
2,74,263,null,22.98
2,116,74,null,16.4
1,259,41,null,36
2,166,41,null,8.7
1,74,140,null,28.5
2,179,140,null,28.75
2,74,41,null,7.3
2,129,138,null,28.2
2,166,42,null,17.1
2,82,260,null,8.7
2,82,82,null,8.7
2,242,242,null,5.9
1,45,55,null,33.7
2,75,41,null,10.8
1,244,119,null,13.6
2,74,263,null,22.19
2,74,239,null,26.85
2,260,15,null,50.8
2,226,95,null,36.7
2,166,239,null,22.14
2,244,163,null,39.45
2,43,236,null,8.65
2,75,166,null,15
2,82,28,null,28.08
2,28,82,null,32.5
2,130,205,null,17.16
2,129,7,null,16.4
2,244,141,null,40.85
2,244,230,null,49.02
2,260,145,null,17.8
2,25,62,null,24
2,166,152,null,13.22
1,41,32,null,34
2,74,152,null,12.9
1,75,238,null,16.25
2,166,238,null,21.31
2,166,244,null,14.76
2,244,138,null,52.94
2,166,141,null,43.19
2,75,239,null,28.86
2,24,141,null,26.85
2,95,121,null,18.4
2,97,188,null,19.8
1,198,36,null,20
1,75,208,null,27.7
1,220,230,null,41
2,75,236,null,12.85
2,43,142,null,21.3
1,39,142,null,66
2,243,243,null,10.4
2,24,236,null,20.55
2,134,96,null,17.7
2,41,42,null,10.1
2,43,236,null,21.3
1,75,141,null,27.15
2,65,149,null,45.1
1,212,167,null,21
2,74,41,null,13.8
2,75,140,null,23.95
1,243,265,null,30.4
2,7,82,null,19.2
1,244,234,null,51.65
2,75,236,null,14.58
2,43,263,null,14.25
2,75,237,null,24.55
2,42,264,null,29
1,82,82,null,12.6
2,159,141,null,39.45
2,74,166,null,16.32
2,116,42,null,6.6
2,260,82,null,12.9
2,166,244,null,18.5
2,166,94,null,31.8
2,244,43,null,46.5
1,70,42,null,32.25
2,43,233,null,36.42
2,74,236,null,22.14
1,95,102,null,25.8
2,75,74,null,9.5
2,74,126,null,25.56
2,75,263,null,20.44
2,75,75,null,-4.5
2,75,75,null,4.5
1,74,239,null,26.3
2,52,65,null,8.7
2,145,226,null,26.9
2,95,197,null,24.72
2,25,33,null,11.5
2,130,132,null,24.8
2,82,129,null,10.8
1,97,49,null,14.6
2,244,220,null,22
2,43,151,null,13.9
2,75,42,null,17.88
2,213,213,null,9
2,75,151,null,8.76
2,75,161,null,31.38
2,7,146,null,11.8
2,146,229,null,19.15
2,95,129,null,36.7
1,65,181,null,16.05
2,65,178,null,57.25
2,74,166,null,12.5
2,74,41,null,10.1
2,74,166,null,16.12
2,244,244,null,13.13
2,193,193,null,18.4
2,43,163,null,19.85
2,43,68,null,39.25
2,42,243,null,23.4
2,83,226,null,14.3
2,166,236,null,29.7
2,75,75,null,10.1
2,74,152,null,16.32
2,7,223,null,10.1
2,130,132,null,31.44
2,74,41,null,9.6
2,166,41,null,12.22
2,41,244,null,15.48
1,166,41,null,10.2
2,74,41,null,11.1
2,166,238,null,17.94
2,75,263,null,15.65
2,244,166,null,20.1
2,7,129,null,16
2,24,166,null,6.6
2,166,237,null,33.06
2,166,43,null,18
2,244,239,null,35.31
2,82,82,null,7.3
1,55,124,null,32.7
2,75,236,null,17.1
2,74,244,null,27
2,191,130,null,12.2
2,244,246,null,40.05
2,166,166,null,7.92
1,25,49,null,11.5
2,43,140,null,21.95
2,116,48,null,35.58
2,42,142,null,40.62
2,95,132,null,42.36
2,74,24,null,13.6
2,75,263,null,19.56
2,193,193,null,0
2,75,143,null,24.66
2,82,129,null,37.4
1,75,50,null,30.86
2,95,132,null,35.3
2,152,152,null,16
2,97,17,null,24
2,166,239,null,20.05
2,43,237,null,21.95
2,61,17,null,10.1
2,60,159,null,18.5
2,74,166,null,15.7
2,65,66,null,22.6
2,33,13,null,19.85
1,137,256,null,19.7
1,236,237,null,17.65
1,83,114,null,30
2,244,18,null,33.9
2,41,75,null,9.3
2,75,41,null,4.8
1,74,41,null,6.9
2,41,42,null,14.3
2,75,142,null,22.14
2,95,95,null,10.44
2,74,262,null,28.02
2,82,82,null,5.2
1,74,166,null,15
2,95,95,null,11.28
1,208,208,null,16.7
1,208,208,null,16.7
1,113,264,null,31
2,75,262,null,18.45
2,166,236,null,28.53
2,236,263,null,15.65
2,75,74,null,12.12
2,41,42,null,8
2,41,116,null,13.6
2,43,237,null,19.56
1,75,263,null,14.25
2,149,149,null,52
2,41,238,null,13.55
1,47,140,null,33
2,74,236,null,26.34
2,75,42,null,16.4
